Fecha,Localidad,Latitud,Longitud,Víctima de la agresión,Candidatura ,Cargo ,Fuerza polítca del agredido(a),Presunto agresor denunciado,Fuerza politica del agresor(a) ,Tipo de agresión,Descripción,Intervención autoridades,Fuente,URL de la fuente 
28/05/2024,Simojovel,1.714.057,-9.271.089,N/A,N/A,Militantes,N/A,N/A,N/A,Agresión física y asesinato,"Enfrentamiento en las inmediaciones del Instituto de Elecciones y Participación Ciudadana, de Simojovel, Chiapas, deja un saldo de un muerto y cinco lesionados. ",N/A,El Sol de México,https://www.elsoldemexico.com.mx/elecciones-2024/enfrentamiento-en-iepc-de-simojovel-chiapas-deja-un-muerto-11993299.html
28/05/2024,Padilla,2.401.277,-9.878.194,Gerardo Gpe. Gallegos,N/A,Colaborador de candidato,PAN,N/A,N/A,Asesinato,"Gerardo Gpe. Gallegos, colaborador de Silvestre Mata Ruíz, candidato a la alcaldía de Padilla, Tamaulipas, por el PAN, fue asesinado. ",N/A,Excelsior,https://www.excelsior.com.mx/nacional/asesinan-colaborador-campana-panista-silvestre-mata-ruiz-tamaulipas/1654461
28/05/2024,Cuautla,188.126,-9.895.482,Ricardo Arizmendi,Alcalde suplente,N/A,PRI-PAN-PRD,N/A,N/A,Asesinato,"Ricardo Arizmendi, candidato suplente a la alcaldía de Cuautla, Morelos, por PRI-PAN-PRD- RSP fue asesinado. ",N/A,CNN,https://cnnespanol.cnn.com/2024/05/29/asesinan-a-candidato-suplente-a-presidencia-municipal-de-cuautla-morelos-orix/
28/05/2024,VIlla Corzo,1.618.538,-9.326.818,Roberto Nolasco Ruiz y José Alonso Gómez López,,Colaboradores,Morena,N/A,N/A,Asesinato,"Roberto Nolasco Ruiz y José Alonso Gómez López, integrantes del equipo de Robertony Orozco, candidato de Morena a la alcaldía de Villa Corzo, habrían sido asesinados y el candidato habría dejado el estado por seguridad. El ataque se habría realizado en la carretera que conecta a San Pedro Buenavista con Emiliano Zapata. ",N/A,Infobae,https://www.infobae.com/mexico/2024/05/29/asesinan-a-otros-dos-colaboradores-del-candidato-de-morena-en-villa-corzo-chiapas/
28/05/2024,San Pedro Cholula,1.905.686,-9.830.523,N/A,N/A,N/A,PAN,Paola Angón,MC,Delito Electoral,"El PAN denunció a la alcaldesa de San Pedro Cholula, Puebla, Paola Angón Silva, de presuntamente presionar a los trabajadores del municipio para votar por Movimiento Ciudadano. ",Sí,Milenio,https://www.milenio.com/politica/elecciones/pan-llama-paola-angon-acusaciones-delito-electoral-puebla
28/05/2024,Culiacán,2.480.906,-10.739.401,N/A,N/A,N/A,N/A,N/A,N/A,Delito Electoral,Las autoridades locales recuperaron una urna electoral que fue abandonada en Barrancos.,Sí,Noroeste,https://www.noroeste.com.mx/seguridad/encuentran-tirada-urna-electoral-en-sector-barrancos-en-culiacan-IE7512093
28/05/2024,Xochimilco,1.925.723,-9.910.296,N/A,N/A,N/A,Movimiento Ciudadano,Santiago Taboada,PAN-PRI-PRD,Delito Electoral,"Salomón Chertorivski, candidato de MC a la jefatura de Gobierno de la CDMX, denunció a su oponente de la coalición PAN-PRI-PRD, Santiago Taboada de intentar sobornar con 15 mdp a Adrián Chávez, candidato naranja a la alcaldía de Xochimilco, para que declinara a favor de su fuerza política.",N/A,Proceso,https://www.proceso.com.mx/nacional/elecciones-2024/2024/5/28/taboada-ofrecio-15-millones-al-exfutbolista-adrian-chavez-para-declinar-denuncia-chertorivski-329822.html
28/05/2024,La Paz,2.414.264,-11.031.275,N/A,N/A,N/A,PAN,Gabriela Montoya,PT,Delito Electoral,"El PAN denunció ante la PGJEBCS a Gabriela Montoya, candidata del PT a diputada por el distrito IX por presunta compra de votos. ",Sí,Zeta Tijuana,https://zetatijuana.com/2024/05/denuncian-a-candidata-del-pt-por-coaccion-de-votos/
28/05/2024,Nuevo Laredo ,2.747.793,-9.954.957,N/A,N/A,Colaborades de candidata,Morena,N/A,N/A,Secuestro,"Morena denunció que seis colaboradores de su candidata a la alcaldía de Nuevo Laredo, Carmen Lilia Canturosas Villarreal, fueron secuestrados desde el 24 de mayo. Entre las personas privadas de su libertad había trabajadores del municipio. ",N/A,Vanguardia,https://vanguardia.com.mx/noticias/secuestran-a-colaboradores-de-morena-en-nuevo-laredo-GD12112163
28/05/2024,La Pastoría,1.887.809,-9.832.575,Aristóteles Campos,Presidente municipal,Colaboradores de candidato,PRI-PAN-PRD,N/A,N/A,Agresión armada," Aristóteles Campos, candidato del PAN-PRI-PRD a la alcaldía de Ocoyucan, Puebla, y un equipo de sus colabores fueron agredidos a balazos cuando salían de la comunidad de La Pastoría. ",N/A,El Sol de Puebla,https://www.elsoldepuebla.com.mx/elecciones-2024/atentan-contra-equipo-de-aristoteles-campos-en-ocoyucan-11991456.html
